Plot	Plot_bexis	Function	Value	Year	Dataset_ID	Dataset_Version
AEW41	AEW41	ammonia_oxidizing_bacteria	45700000	2016	21546	2
HEW41	HEW41	ammonia_oxidizing_bacteria	1530000	2016	21546	2
AEW03	AEW3	ammonia_oxidizing_bacteria	26600000	2016	21546	2
SEW13	SEW13	ammonia_oxidizing_bacteria	15400000	2016	21546	2
HEW43	HEW43	ammonia_oxidizing_bacteria	919000	2016	21546	2
SEW21	SEW21	ammonia_oxidizing_bacteria	0	2016	21546	2
SEW22	SEW22	ammonia_oxidizing_bacteria	386000	2016	21546	2
SEW26	SEW26	ammonia_oxidizing_bacteria	5230000	2016	21546	2
HEW44	HEW44	ammonia_oxidizing_bacteria	6890000	2016	21546	2
AEW44	AEW44	ammonia_oxidizing_bacteria	10200000	2016	21546	2
SEW25	SEW25	ammonia_oxidizing_bacteria	3080000	2016	21546	2
AEW05	AEW5	ammonia_oxidizing_bacteria	5430000	2016	21546	2
HEW30	HEW30	ammonia_oxidizing_bacteria	6420000	2016	21546	2
HEW14	HEW14	ammonia_oxidizing_bacteria	1960000	2016	21546	2
SEW05	SEW5	ammonia_oxidizing_bacteria	394000	2016	21546	2
SEW01	SEW1	ammonia_oxidizing_bacteria	308000	2016	21546	2
AEW04	AEW4	ammonia_oxidizing_bacteria	14300000	2016	21546	2
HEW46	HEW46	ammonia_oxidizing_bacteria	3920000	2016	21546	2
AEW27	AEW27	ammonia_oxidizing_bacteria	1.47e+08	2016	21546	2
SEW17	SEW17	ammonia_oxidizing_bacteria	998000	2016	21546	2
SEW23	SEW23	ammonia_oxidizing_bacteria	1380000	2016	21546	2
SEW08	SEW8	ammonia_oxidizing_bacteria	2730000	2016	21546	2
SEW39	SEW39	ammonia_oxidizing_bacteria	943000	2016	21546	2
SEW24	SEW24	ammonia_oxidizing_bacteria	5e+06	2016	21546	2
SEW16	SEW16	ammonia_oxidizing_bacteria	636000	2016	21546	2
AEW06	AEW6	ammonia_oxidizing_bacteria	3330000	2016	21546	2
HEW21	HEW21	ammonia_oxidizing_bacteria	56900000	2016	21546	2
AEW18	AEW18	ammonia_oxidizing_bacteria	86100000	2016	21546	2
HEW26	HEW26	ammonia_oxidizing_bacteria	6560000	2016	21546	2
SEW10	SEW10	ammonia_oxidizing_bacteria	941000	2016	21546	2
AEW46	AEW46	ammonia_oxidizing_bacteria	9560000	2016	21546	2
AEW42	AEW42	ammonia_oxidizing_bacteria	15100000	2016	21546	2
SEW49	SEW49	ammonia_oxidizing_bacteria	675000	2016	21546	2
AEW01	AEW1	ammonia_oxidizing_bacteria	1050000	2016	21546	2
HEW16	HEW16	ammonia_oxidizing_bacteria	19100000	2016	21546	2
HEW20	HEW20	ammonia_oxidizing_bacteria	6330000	2016	21546	2
AEW17	AEW17	ammonia_oxidizing_bacteria	1.3e+07	2016	21546	2
SEW50	SEW50	ammonia_oxidizing_bacteria	5960000	2016	21546	2
HEW48	HEW48	ammonia_oxidizing_bacteria	3050000	2016	21546	2
SEW09	SEW9	ammonia_oxidizing_bacteria	29500	2016	21546	2
AEW45	AEW45	ammonia_oxidizing_bacteria	1.21e+08	2016	21546	2
AEW15	AEW15	ammonia_oxidizing_bacteria	1.37e+08	2016	21546	2
HEW06	HEW6	ammonia_oxidizing_bacteria	25100000	2016	21546	2
HEW31	HEW31	ammonia_oxidizing_bacteria	6910000	2016	21546	2
HEW19	HEW19	ammonia_oxidizing_bacteria	1.1e+07	2016	21546	2
AEW13	AEW13	ammonia_oxidizing_bacteria	21900000	2016	21546	2
HEW27	HEW27	ammonia_oxidizing_bacteria	22800000	2016	21546	2
HEW47	HEW47	ammonia_oxidizing_bacteria	4100000	2016	21546	2
HEW51	HEW51	ammonia_oxidizing_bacteria	NA	2016	21546	2
AEW28	AEW28	ammonia_oxidizing_bacteria	20100000	2016	21546	2
SEW04	SEW4	ammonia_oxidizing_bacteria	557000	2016	21546	2
SEW12	SEW12	ammonia_oxidizing_bacteria	349000	2016	21546	2
SEW28	SEW28	ammonia_oxidizing_bacteria	5980000	2016	21546	2
SEW44	SEW44	ammonia_oxidizing_bacteria	2980000	2016	21546	2
HEW37	HEW37	ammonia_oxidizing_bacteria	1.4e+07	2016	21546	2
AEW10	AEW10	ammonia_oxidizing_bacteria	8e+07	2016	21546	2
AEW07	AEW7	ammonia_oxidizing_bacteria	2.8e+07	2016	21546	2
HEW22	HEW22	ammonia_oxidizing_bacteria	19400000	2016	21546	2
AEW23	AEW23	ammonia_oxidizing_bacteria	14300000	2016	21546	2
SEW03	SEW3	ammonia_oxidizing_bacteria	140000	2016	21546	2
SEW15	SEW15	ammonia_oxidizing_bacteria	484000	2016	21546	2
SEW27	SEW27	ammonia_oxidizing_bacteria	34700	2016	21546	2
HEW01	HEW1	ammonia_oxidizing_bacteria	20700000	2016	21546	2
AEW14	AEW14	ammonia_oxidizing_bacteria	4.9e+07	2016	21546	2
AEW02	AEW2	ammonia_oxidizing_bacteria	1.01e+08	2016	21546	2
HEW17	HEW17	ammonia_oxidizing_bacteria	17900000	2016	21546	2
SEW47	SEW47	ammonia_oxidizing_bacteria	270000	2016	21546	2
AEW37	AEW37	ammonia_oxidizing_bacteria	36500000	2016	21546	2
SEW32	SEW32	ammonia_oxidizing_bacteria	1710000	2016	21546	2
SEW02	SEW2	ammonia_oxidizing_bacteria	19900000	2016	21546	2
SEW14	SEW14	ammonia_oxidizing_bacteria	232000	2016	21546	2
AEW38	AEW38	ammonia_oxidizing_bacteria	10700000	2016	21546	2
SEW06	SEW6	ammonia_oxidizing_bacteria	2440000	2016	21546	2
SEW18	SEW18	ammonia_oxidizing_bacteria	403000	2016	21546	2
HEW32	HEW32	ammonia_oxidizing_bacteria	6810000	2016	21546	2
SEW46	SEW46	ammonia_oxidizing_bacteria	2180000	2016	21546	2
HEW36	HEW36	ammonia_oxidizing_bacteria	1700000	2016	21546	2
HEW12	HEW12	ammonia_oxidizing_bacteria	36900000	2016	21546	2
AEW09	AEW9	ammonia_oxidizing_bacteria	15400000	2016	21546	2
AEW25	AEW25	ammonia_oxidizing_bacteria	13600000	2016	21546	2
SEW40	SEW40	ammonia_oxidizing_bacteria	1730000	2016	21546	2
SEW35	SEW35	ammonia_oxidizing_bacteria	422000	2016	21546	2
AEW33	AEW33	ammonia_oxidizing_bacteria	5790000	2016	21546	2
SEW29	SEW29	ammonia_oxidizing_bacteria	234000	2016	21546	2
HEW15	HEW15	ammonia_oxidizing_bacteria	32900000	2016	21546	2
AEW16	AEW16	ammonia_oxidizing_bacteria	41100000	2016	21546	2
HEW11	HEW11	ammonia_oxidizing_bacteria	11500000	2016	21546	2
AEW08	AEW8	ammonia_oxidizing_bacteria	2800000	2016	21546	2
AEW20	AEW20	ammonia_oxidizing_bacteria	3.4e+07	2016	21546	2
AEW32	AEW32	ammonia_oxidizing_bacteria	6260000	2016	21546	2
AEW12	AEW12	ammonia_oxidizing_bacteria	40600000	2016	21546	2
HEW25	HEW25	ammonia_oxidizing_bacteria	41500000	2016	21546	2
AEW48	AEW48	ammonia_oxidizing_bacteria	77900000	2016	21546	2
SEW43	SEW43	ammonia_oxidizing_bacteria	2570000	2016	21546	2
AEW29	AEW29	ammonia_oxidizing_bacteria	63200000	2016	21546	2
HEW05	HEW5	ammonia_oxidizing_bacteria	21500000	2016	21546	2
HEW34	HEW34	ammonia_oxidizing_bacteria	2320000	2016	21546	2
SEW48	SEW48	ammonia_oxidizing_bacteria	5810000	2016	21546	2
AEW19	AEW19	ammonia_oxidizing_bacteria	44700000	2016	21546	2
AEW11	AEW11	ammonia_oxidizing_bacteria	2800000	2016	21546	2
SEW11	SEW11	ammonia_oxidizing_bacteria	414000	2016	21546	2
AEW47	AEW47	ammonia_oxidizing_bacteria	24500000	2016	21546	2
AEW43	AEW43	ammonia_oxidizing_bacteria	24500000	2016	21546	2
SEW07	SEW7	ammonia_oxidizing_bacteria	715000	2016	21546	2
HEW39	HEW39	ammonia_oxidizing_bacteria	21600000	2016	21546	2
