Plot	Plot_bexis	Function	Value	Year	Dataset_ID	Dataset_Version
HEW03	HEW3	Ammonium_NH4	0.231823646	2016	21546	2
SEW20	SEW20	Ammonium_NH4	0.116768342	2016	21546	2
SEW46	SEW46	Ammonium_NH4	0.078856587	2016	21546	2
HEW06	HEW6	Ammonium_NH4	1.281162716	2016	21546	2
AEW07	AEW7	Ammonium_NH4	1.001268361	2016	21546	2
HEW08	HEW8	Ammonium_NH4	0.363148764	2016	21546	2
HEW09	HEW9	Ammonium_NH4	0.730248635	2016	21546	2
SEW13	SEW13	Ammonium_NH4	0.142435107	2016	21546	2
HEW18	HEW18	Ammonium_NH4	1.995399407	2016	21546	2
SEW06	SEW6	Ammonium_NH4	2.028459294	2016	21546	2
SEW16	SEW16	Ammonium_NH4	0.10688808	2016	21546	2
SEW32	SEW32	Ammonium_NH4	0.374504196	2016	21546	2
HEW41	HEW41	Ammonium_NH4	2.954940615	2016	21546	2
SEW19	SEW19	Ammonium_NH4	1.847420251	2016	21546	2
SEW45	SEW45	Ammonium_NH4	2.605383941	2016	21546	2
HEW05	HEW5	Ammonium_NH4	0.513154571	2016	21546	2
AEW32	AEW32	Ammonium_NH4	0.520461582	2016	21546	2
SEW25	SEW25	Ammonium_NH4	1.168827455	2016	21546	2
HEW07	HEW7	Ammonium_NH4	2.23513647	2016	21546	2
SEW12	SEW12	Ammonium_NH4	0.133142569	2016	21546	2
HEW42	HEW42	Ammonium_NH4	2.558972579	2016	21546	2
SEW05	SEW5	Ammonium_NH4	3.056434902	2016	21546	2
SEW15	SEW15	Ammonium_NH4	0.052457242	2016	21546	2
HEW40	HEW40	Ammonium_NH4	0.166989626	2016	21546	2
SEW31	SEW31	Ammonium_NH4	0.020469287	2016	21546	2
HEW46	HEW46	Ammonium_NH4	1.012098814	2016	21546	2
SEW44	SEW44	Ammonium_NH4	3.796981085	2016	21546	2
AEW15	AEW15	Ammonium_NH4	0.239177911	2016	21546	2
HEW04	HEW4	Ammonium_NH4	0.360838208	2016	21546	2
SEW24	SEW24	Ammonium_NH4	0.392637263	2016	21546	2
AEW18	AEW18	Ammonium_NH4	0.73736491	2016	21546	2
AEW17	AEW17	Ammonium_NH4	0.226186653	2016	21546	2
SEW48	SEW48	Ammonium_NH4	4.622137889	2016	21546	2
SEW49	SEW49	Ammonium_NH4	1.352304582	2016	21546	2
SEW14	SEW14	Ammonium_NH4	0.149569113	2016	21546	2
HEW10	HEW10	Ammonium_NH4	0.980875844	2016	21546	2
AEW11	AEW11	Ammonium_NH4	0.481820449	2016	21546	2
SEW17	SEW17	Ammonium_NH4	0.469955888	2016	21546	2
SEW42	SEW42	Ammonium_NH4	2.658522659	2016	21546	2
SEW43	SEW43	Ammonium_NH4	4.693821802	2016	21546	2
AEW24	AEW24	Ammonium_NH4	0.965520928	2016	21546	2
HEW32	HEW32	Ammonium_NH4	0.99833714	2016	21546	2
SEW23	SEW23	Ammonium_NH4	2.627510771	2016	21546	2
AEW27	AEW27	Ammonium_NH4	0.543600871	2016	21546	2
AEW28	AEW28	Ammonium_NH4	1.088256882	2016	21546	2
SEW11	SEW11	Ammonium_NH4	1.644121808	2016	21546	2
AEW19	AEW19	Ammonium_NH4	0.338484887	2016	21546	2
AEW20	AEW20	Ammonium_NH4	0.290105482	2016	21546	2
SEW50	SEW50	Ammonium_NH4	0.657381263	2016	21546	2
SEW28	SEW28	Ammonium_NH4	0.258739235	2016	21546	2
SEW29	SEW29	Ammonium_NH4	2.026137019	2016	21546	2
HEW01	HEW1	Ammonium_NH4	0.174059891	2016	21546	2
AEW23	AEW23	Ammonium_NH4	0.481717266	2016	21546	2
AEW03	AEW3	Ammonium_NH4	0.404450187	2016	21546	2
SEW22	SEW22	Ammonium_NH4	0.174051443	2016	21546	2
AEW26	AEW26	Ammonium_NH4	0.603899213	2016	21546	2
AEW16	AEW16	Ammonium_NH4	0.200119699	2016	21546	2
AEW04	AEW4	Ammonium_NH4	0.213606456	2016	21546	2
AEW31	AEW31	Ammonium_NH4	0.470603684	2016	21546	2
AEW29	AEW29	Ammonium_NH4	1.572757192	2016	21546	2
AEW30	AEW30	Ammonium_NH4	0.248386013	2016	21546	2
AEW12	AEW12	Ammonium_NH4	0.645368778	2016	21546	2
SEW21	SEW21	Ammonium_NH4	0.287558497	2016	21546	2
SEW41	SEW41	Ammonium_NH4	3.778447744	2016	21546	2
AEW14	AEW14	Ammonium_NH4	0.263249098	2016	21546	2
HEW33	HEW33	Ammonium_NH4	0.293681177	2016	21546	2
HEW11	HEW11	Ammonium_NH4	1.003814879	2016	21546	2
AEW25	AEW25	Ammonium_NH4	1.446727347	2016	21546	2
SEW47	SEW47	Ammonium_NH4	2.993306448	2016	21546	2
AEW42	AEW42	Ammonium_NH4	0.19284589	2016	21546	2
AEW43	AEW43	Ammonium_NH4	0.170127349	2016	21546	2
SEW27	SEW27	Ammonium_NH4	0.104763737	2016	21546	2
AEW21	AEW21	Ammonium_NH4	0.205440946	2016	21546	2
SEW18	SEW18	Ammonium_NH4	0.351034605	2016	21546	2
AEW22	AEW22	Ammonium_NH4	0.243712474	2016	21546	2
HEW02	HEW2	Ammonium_NH4	0.433623041	2016	21546	2
AEW13	AEW13	Ammonium_NH4	0.864013728	2016	21546	2
AEW20	AEW20	amoA_AOA	1.47e+08	2016	21546	2
SEW35	SEW35	amoA_AOA	35400000	2016	21546	2
SEW36	SEW36	amoA_AOA	1.66e+08	2016	21546	2
SEW33	SEW33	amoA_AOA	0	2016	21546	2
AEW19	AEW19	amoA_AOA	2.8e+07	2016	21546	2
SEW32	SEW32	amoA_AOA	18700000	2016	21546	2
HEW18	HEW18	amoA_AOA	418000	2016	21546	2
HEW19	HEW19	amoA_AOA	1720000	2016	21546	2
HEW48	HEW48	amoA_AOA	356000	2016	21546	2
AEW09	AEW9	amoA_AOA	35800000	2016	21546	2
SEW03	SEW3	amoA_AOA	1.3e+07	2016	21546	2
HEW45	HEW45	amoA_AOA	24200000	2016	21546	2
HEW46	HEW46	amoA_AOA	3840000	2016	21546	2
HEW16	HEW16	amoA_AOA	26200000	2016	21546	2
SEW34	SEW34	amoA_AOA	6480000	2016	21546	2
HEW17	HEW17	amoA_AOA	823000	2016	21546	2
AEW08	AEW8	amoA_AOA	1620000	2016	21546	2
HEW49	HEW49	amoA_AOA	12900000	2016	21546	2
AEW27	AEW27	amoA_AOA	1070000	2016	21546	2
AEW48	AEW48	amoA_AOA	1.75e+08	2016	21546	2
AEW21	AEW21	amoA_AOA	4270000	2016	21546	2
SEW43	SEW43	amoA_AOA	1.3e+08	2016	21546	2
AEW10	AEW10	amoA_AOA	3750000	2016	21546	2
AEW07	AEW7	amoA_AOA	14400000	2016	21546	2
AEW06	AEW6	amoA_AOA	1350000	2016	21546	2
SEW23	SEW23	amoA_AOA	3.16e+08	2016	21546	2
SEW02	SEW2	amoA_AOA	75300000	2016	21546	2
HEW15	HEW15	amoA_AOA	53700000	2016	21546	2
SEW46	SEW46	amoA_AOA	1.91e+08	2016	21546	2
AEW18	AEW18	amoA_AOA	21500000	2016	21546	2
AEW49	AEW49	amoA_AOA	3.24e+08	2016	21546	2
HEW47	HEW47	amoA_AOA	1140000	2016	21546	2
AEW16	AEW16	amoA_AOA	5.6e+07	2016	21546	2
SEW22	SEW22	amoA_AOA	41900000	2016	21546	2
HEW44	HEW44	amoA_AOA	33600000	2016	21546	2
AEW15	AEW15	amoA_AOA	915000	2016	21546	2
SEW06	SEW6	amoA_AOA	14100000	2016	21546	2
AEW02	AEW2	amoA_AOA	2410000	2016	21546	2
AEW05	AEW5	amoA_AOA	1450000	2016	21546	2
SEW31	SEW31	amoA_AOA	12600000	2016	21546	2
SEW05	SEW5	amoA_AOA	16900000	2016	21546	2
SEW21	SEW21	amoA_AOA	1.4e+08	2016	21546	2
HEW12	HEW12	amoA_AOA	2.77e+08	2016	21546	2
HEW14	HEW14	amoA_AOA	565000	2016	21546	2
SEW24	SEW24	amoA_AOA	4.06e+08	2016	21546	2
SEW47	SEW47	amoA_AOA	57500000	2016	21546	2
HEW43	HEW43	amoA_AOA	6770000	2016	21546	2
AEW23	AEW23	amoA_AOA	37100000	2016	21546	2
SEW01	SEW1	amoA_AOA	7110000	2016	21546	2
SEW15	SEW15	amoA_AOA	55300000	2016	21546	2
AEW14	AEW14	amoA_AOA	9510000	2016	21546	2
SEW41	SEW41	amoA_AOA	14100000	2016	21546	2
AEW17	AEW17	amoA_AOA	80400000	2016	21546	2
HEW42	HEW42	amoA_AOA	17500000	2016	21546	2
HEW13	HEW13	amoA_AOA	5510000	2016	21546	2
AEW50	AEW50	amoA_AOA	5.84e+08	2016	21546	2
AEW40	AEW40	amoA_AOA	1.67e+08	2016	21546	2
AEW30	AEW30	amoA_AOA	75600000	2016	21546	2
SEW20	SEW20	amoA_AOA	14900000	2016	21546	2
SEW37	SEW37	amoA_AOA	23400000	2016	21546	2
HEW50	HEW50	amoA_AOA	5060000	2016	21546	2
HEW35	HEW35	amoA_AOA	1920000	2016	21546	2
SEW28	SEW28	amoA_AOA	3.39e+08	2016	21546	2
HEW51	HEW51	amoA_AOA	NA	2016	21546	2
HEW38	HEW38	amoA_AOA	18500000	2016	21546	2
SEW29	SEW29	amoA_AOA	10400000	2016	21546	2
SEW42	SEW42	amoA_AOA	1.1e+08	2016	21546	2
AEW26	AEW26	amoA_AOA	3400000	2016	21546	2
AEW39	AEW39	amoA_AOA	52600000	2016	21546	2
SEW45	SEW45	amoA_AOA	85900000	2016	21546	2
AEW29	AEW29	amoA_AOA	18100000	2016	21546	2
HEW01	HEW1	amoA_AOA	55600000	2016	21546	2
SEW25	SEW25	amoA_AOA	9.8e+07	2016	21546	2
SEW27	SEW27	amoA_AOA	1.98e+08	2016	21546	2
SEW48	SEW48	amoA_AOA	18400000	2016	21546	2
HEW36	HEW36	amoA_AOA	18900000	2016	21546	2
AEW35	AEW35	amoA_AOA	1840000	2016	21546	2
HEW08	HEW8	amoA_AOA	17600000	2016	21546	2
HEW37	HEW37	amoA_AOA	1.73e+08	2016	21546	2
AEW38	AEW38	amoA_AOA	157000	2016	21546	2
SEW18	SEW18	amoA_AOA	15100000	2016	21546	2
SEW44	SEW44	amoA_AOA	32300000	2016	21546	2
AEW28	AEW28	amoA_AOA	891000	2016	21546	2
HEW27	HEW27	amoA_AOA	1.2e+07	2016	21546	2
SEW07	SEW7	amoA_AOA	40300000	2016	21546	2
AEW41	AEW41	amoA_AOA	23600000	2016	21546	2
AEW31	AEW31	amoA_AOA	4720000	2016	21546	2
HEW20	HEW20	amoA_AOA	3530000	2016	21546	2
SEW14	SEW14	amoA_AOA	48500000	2016	21546	2
AEW44	AEW44	amoA_AOA	48400000	2016	21546	2
AEW24	AEW24	amoA_AOA	3900000	2016	21546	2
SEW17	SEW17	amoA_AOA	2010000	2016	21546	2
HEW39	HEW39	amoA_AOA	4030000	2016	21546	2
HEW10	HEW10	amoA_AOA	6550000	2016	21546	2
SEW04	SEW4	amoA_AOA	19800000	2016	21546	2
HEW26	HEW26	amoA_AOA	1.2e+07	2016	21546	2
SEW19	SEW19	amoA_AOA	369000	2016	21546	2
HEW41	HEW41	amoA_AOA	2090000	2016	21546	2
HEW29	HEW29	amoA_AOA	99100000	2016	21546	2
AEW13	AEW13	amoA_AOA	6730000	2016	21546	2
SEW26	SEW26	amoA_AOA	1.83e+08	2016	21546	2
AEW43	AEW43	amoA_AOA	3370000	2016	21546	2
HEW22	HEW22	amoA_AOA	202000	2016	21546	2
HEW25	HEW25	amoA_AOA	34500000	2016	21546	2
SEW39	SEW39	amoA_AOA	1.6e+08	2016	21546	2
HEW09	HEW9	amoA_AOA	13200000	2016	21546	2
SEW16	SEW16	amoA_AOA	8730000	2016	21546	2
SEW38	SEW38	amoA_AOA	1.86e+08	2016	21546	2
HEW40	HEW40	amoA_AOA	1.73e+08	2016	21546	2
HEW11	HEW11	amoA_AOA	1.47e+08	2016	21546	2
HEW28	HEW28	amoA_AOA	22400000	2016	21546	2
AEW25	AEW25	amoA_AOA	3420000	2016	21546	2
HEW21	HEW21	amoA_AOA	1.4e+07	2016	21546	2
AEW22	AEW22	amoA_AOA	12400000	2016	21546	2
HEW05	HEW5	amoA_AOA	34300000	2016	21546	2
AEW11	AEW11	amoA_AOA	1.87e+08	2016	21546	2
HEW24	HEW24	amoA_AOA	7750000	2016	21546	2
AEW45	AEW45	amoA_AOA	33500000	2016	21546	2
HEW23	HEW23	amoA_AOA	24200000	2016	21546	2
AEW46	AEW46	amoA_AOA	5330000	2016	21546	2
AEW01	AEW1	amoA_AOA	3.69e+08	2016	21546	2
SEW30	SEW30	amoA_AOA	7760000	2016	21546	2
AEW04	AEW4	amoA_AOA	4.96e+08	2016	21546	2
SEW13	SEW13	amoA_AOA	18400000	2016	21546	2
SEW40	SEW40	amoA_AOA	68400000	2016	21546	2
HEW33	HEW33	amoA_AOA	4900000	2016	21546	2
SEW08	SEW8	amoA_AOA	1.01e+08	2016	21546	2
SEW50	SEW50	amoA_AOA	57100000	2016	21546	2
HEW02	HEW2	amoA_AOA	20700000	2016	21546	2
